Признаки;;;;;;Acc;Recall;Prec;Spec;FPR;mean_attack;mean_no_attack
1;2;3;7;13;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;13;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;13;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;13;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;14;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;14;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;14;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;15;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;15;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;16;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;9;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;10;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;10;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;8;10;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
